	SEQ.1	SEQ.2	SEQ.3	SEQ.4	SEQ.5	SEQ.6	SEQ.7	SEQ.8	SEQ.9	SEQ.10	SEQ.11	SEQ.12	SEQ.13	SEQ.14	SEQ.15	SEQ.16	SEQ.17	SEQ.18	SEQ.19	SEQ.20	SEQ.21	SEQ.22	SEQ.23	SEQ.24	SEQ.25	SEQ.26	SEQ.27	SEQ.28	SEQ.29	SEQ.30	SEQ.31	SEQ.32	SEQ.33	SEQ.34	SEQ.35	SEQ.36	SEQ.37	SEQ.38	SEQ.39	SEQ.40	SEQ.41	SEQ.42	SEQ.43	SEQ.44	SEQ.45	SEQ.46	SEQ.47	SEQ.48	SEQ.49	SEQ.50	SEQ.51	SEQ.52	SEQ.53	SEQ.54	SEQ.55	SEQ.56	SEQ.57	SEQ.58	SEQ.59	SEQ.60	SEQ.61	SEQ.62	SEQ.63	SEQ.64	SEQ.65	SEQ.66	SEQ.67	SEQ.68	SEQ.69	SEQ.70
k__Bacteria;p__Firmicutes_A;c__Clostridia	248243	502375	144367	105072	263884	162490	91948	229908	165998	213815	355109	397246	380215	580726	196720	347140	369581	356316	274013	168702	390125	153413	316887	227086	412420	395097	478642	496143	360476	471905	56677	138175	33648	56667	7057	8889	566140	6856	321136	496980	233379	15488	485589	581233	60375	541333	535857	589022	295176	259481	399248	401317	307063	186601	345857	431375	382622	320627	328905	133638	283442	577094	562295	171346	100527	348795	366438	125259	247894	109352
k__Bacteria;p__Firmicutes_A;c__Clostridia_A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	14	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes_A;c__Other	11	1	4	0	1	1	0	23	9	5	4	0	11	0	6	2	17	11	38	8	5	14	1	36	2	38	6	3	6	2	0	0	0	8	1	0	2	0	0	0	1	3	2	1	2	1	2	1	10	13	3	7	14	0	10	8	0	8	46	1	35	0	0	3	3	4	0	2	50	4
k__Bacteria;p__Firmicutes_B;c__Peptococcia	289	0	3192	195	129	145	7094	152	298	491	3107	0	1280	0	1362	201	19678	15	146	125	221	1435	30	200	51	57	55	12	24446	68	0	0	0	2919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	589	29593	288	24965	14454	0	481	0	59	24645	13681	72	164	0	0	6123	113	0	26	1510	1117	54
k__Bacteria;p__Firmicutes_C;c__Negativicutes	54653	44	11588	50987	15630	13705	9399	76710	38893	16855	32297	169	65647	192	6245	5855	156	10109	49795	56051	31859	20139	10268	100402	10861	73397	1270	3644	6645	1270	297	83	98	32694	2282	0	38	12	181	201	234	18746	178	26	0	44	51	40	22027	2460	20763	2334	11488	16	5908	1230	655	2249	653	5137	44224	158	233	42720	23141	163	15727	4642	693	11922
k__Bacteria;p__Fusobacteriota;c__Fusobacteriia	61071	31245	24514	40181	80847	102536	25420	7533	34190	32805	1403	21467	4690	3030	1196	17213	17911	607	51967	8989	16231	2105	15876	5510	29064	13264	10997	1193	5674	2594	251702	0	480	8966	0	0	84	108	265	577	9	0	914	2268	12	221	2487	8	11925	15762	46847	7386	20677	2798	24021	1227	2024	16691	2091	342	10238	951	227	39724	822	49	24307	426	16754	2967
k__Bacteria;p__Other;c__Other	7205	7541	8818	10384	9786	9755	5634	10111	7736	8764	5939	2020	7619	5833	5757	8838	10508	7611	7759	8937	8313	7934	8719	8184	8106	7392	9328	10174	8460	8610	10025	8027	6000	9379	6884	3014	4742	4117	7091	7711	7443	3527	7207	8873	5390	7697	7665	5952	8980	6550	7446	8437	8141	10073	5889	7205	7292	8898	8137	4521	8527	5499	5696	10076	9130	13812	6836	8034	8005	7129
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	1	1	0	0	1	0	1	2	0	0	3	1	1	22	0	12	0	5	471	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	4	0	0	0	0	0	5	1	1	0	55
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	10747	27054	12371	19154	10534	37082	58580	7444	42922	18098	49973	4101	2227	3892	16708	465	71054	10740	18363	9360	6676	11708	1069	8230	5567	3506	6858	86	9351	925	300837	17943	345970	47677	1035	1562	61826	576	11013	124	69979	4228	77	31945	524677	8842	1	18159	4297	3710	3985	5439	16386	36841	267	113	184	4038	9703	2292	6903	733	18135	11321	585	157819	3008	214863	1637	225747
k__Bacteria;p__Proteobacteria;c__Other	2	0	0	0	1	0	0	0	2	0	1	4	0	1	1	0	7	0	0	1	0	4	0	0	0	0	1	0	1	0	5	16	29	3	0	2	0	0	0	0	3	0	0	0	40	2	0	0	0	0	0	1	1	1	0	0	0	1	0	1	1	0	1	3	0	0	0	1	1	497
